"Rater_ID","ID","Rating"
"1","68646","10"
"1","113277","10"
"2","422720","8"
"2","454876","8"
"2","790636","7"
"2","816711","8"
"2","1091191","7"
"2","1103275","7"
"2","1322269","7"
"2","1433811","8"
"2","1454468","8"
"2","1535109","8"
"2","1675434","8"
"2","1798709","10"
"2","2017038","7"
"2","2024544","10"
"2","2294629","8"
"2","2361509","8"
"2","2381249","5"
"2","2726560","9"
"2","2883512","8"
"2","3079380","8"
"3","1790864","7"
"3","2170439","7"
"4","2910904","7"
"5","1300854","7"
"6","54953","5"
"6","120863","1"
"7","2103281","6"
"8","1764234","8"
"8","1790885","9"
"8","2053463","7"
"9","385002","10"
"9","1220198","10"
"9","1462900","10"
"9","1512685","10"
"9","1631707","10"
"9","1986994","1"
"9","1999995","10"
"10","65207","3"
"10","363163","8"
"10","985699","7"
"11","1253863","9"
"12","3294634","6"
"13","452623","10"
"14","1980929","7"
"15","800241","7"
"16","2258858","8"
"17","390384","7"
"18","359950","7"
"18","770828","9"
"18","831387","7"
"18","1091191","8"
"18","1170358","7"
"18","1210819","4"
"18","1430132","7"
"18","1490017","8"
"18","1535108","6"
"18","1663662","6"
"18","1843866","8"
"18","1872181","8"
"18","2103281","8"
"18","2179136","7"
"18","2209764","5"
"18","2267998","7"
"18","2333784","5"
"18","2334879","5"
"18","2713180","6"
"18","2872732","5"
"19","1210819","7"
"20","54953","5"
"20","120863","1"
"21","111161","10"
"21","454921","10"
"21","1454468","10"
"21","2024469","9"
"21","2231253","10"
"21","2304771","10"
"22","109830","8"
"22","1535109","7"
"23","108002","7"
"23","108399","9"
"23","111161","10"
"23","418279","9"
"23","453562","7"
"23","790724","8"
"23","816711","5"
"23","1045658","8"
"23","1055369","9"
"23","1232829","5"
"23","1272878","6"
"23","1300854","6"
"23","1399103","8"
"23","1588173","5"
"23","1606378","5"
"23","1606389","8"
"23","1636826","1"
"23","1659337","8"
"23","1670345","6"
"23","1763303","7"
"23","1855199","2"
"23","1905041","5"
"23","1945062","5"
"23","1981677","5"
"23","2194499","8"
"24","369610","9"
"24","1340138","5"
"24","1392190","8"
"24","1502712","2"
"24","1964418","8"
"24","2096673","10"
"24","2224026","6"
"24","2379713","9"
"24","2381249","9"
"24","2395427","9"
"24","2802144","8"
"24","3079380","8"
"25","120338","10"
"25","120737","10"
"25","167260","10"
"25","167261","10"
"25","266543","10"
"25","325980","10"
"25","454876","10"
"25","468569","10"
"25","848228","10"
"25","910970","10"
"25","986264","10"
"25","1074638","9"
"25","1187043","10"
"25","1201607","10"
"25","1300854","9"
"25","1345836","10"
"25","1375666","10"
"25","1905041","9"
"25","1951261","8"
"26","2172584","8"
"26","2345737","9"
"27","882977","7"
"27","1446192","8"
"28","1602613","7"
"29","1631867","9"
"29","1790864","9"
"29","2015381","10"
"29","2582846","10"
"30","2278388","8"
"31","1972779","8"
"32","1203517","4"
"32","1343092","6"
"32","1411250","6"
"32","1727388","9"
"32","1853739","2"
"33","68646","9"
"33","1211956","10"
"33","1392214","9"
"33","1411250","5"
"33","1690953","7"
"33","2171867","2"
"33","2644714","1"
"34","61714","6"
